time,bid_ask
2023-12-23 16:43:57.563912,1.46
2023-12-23 16:44:57.569623,1.46
2023-12-23 16:45:57.571519,1.46
2023-12-23 16:46:57.585809,1.46
2023-12-23 16:47:57.597316,1.46
2023-12-23 16:48:57.609311,1.46
2023-12-23 16:49:57.612951,1.46
2023-12-23 16:50:57.617665,1.46
2023-12-23 16:51:57.633960,1.46
2023-12-23 16:52:57.635848,1.46
2023-12-23 16:53:57.639819,1.46
2023-12-23 16:54:57.653890,1.46
2023-12-23 16:55:57.659643,1.46
2023-12-23 16:56:57.668771,1.61
2023-12-23 16:57:57.680615,1.46
2023-12-23 16:58:57.691694,1.48
2023-12-23 16:59:57.707378,1.46
2023-12-23 17:00:57.713906,1.46
2023-12-23 17:01:57.726800,1.46
2023-12-23 17:02:57.739835,1.46
2023-12-23 17:03:57.744107,1.46
2023-12-23 17:04:57.745682,1.46
2023-12-23 17:05:57.757604,1.46
2023-12-23 17:06:57.771578,1.46
2023-12-23 17:07:57.775953,1.46
2023-12-23 17:08:57.787442,1.46
2023-12-23 17:09:57.793729,1.46
2023-12-23 17:10:57.806167,1.46
2023-12-23 17:11:57.811615,1.46
2023-12-23 17:12:57.823528,1.65
2023-12-23 17:13:57.831326,1.46
2023-12-23 17:14:57.835420,1.46
2023-12-23 17:15:57.845871,1.46
2023-12-23 17:16:57.859459,1.46
2023-12-23 17:17:57.865611,1.46
2023-12-23 17:18:57.879044,1.46
2023-12-23 17:19:57.891699,1.46
2023-12-23 17:20:57.895543,1.46
2023-12-23 17:21:57.903898,1.46
2023-12-23 17:22:57.914657,1.46
2023-12-23 17:23:57.921531,1.46
2023-12-23 17:24:57.932099,1.46
2023-12-23 17:25:57.945590,1.46
2023-12-23 17:26:57.945917,1.46
2023-12-23 17:27:57.959696,1.46
2023-12-23 17:28:57.971536,1.46
2023-12-23 17:29:57.979879,1.46
2023-12-23 17:30:57.989435,1.54
2023-12-23 17:31:57.999788,1.46
2023-12-23 17:32:58.010076,1.46
2023-12-23 17:33:58.017877,1.65
2023-12-23 17:34:58.022725,1.49
2023-12-23 17:35:58.035588,1.46
2023-12-23 17:36:58.041245,1.46
2023-12-23 17:37:58.051635,1.47
2023-12-23 17:38:58.061600,1.46
2023-12-23 17:39:58.063405,1.46
2023-12-23 17:40:58.079452,1.46
2023-12-23 17:41:58.094381,1.46
2023-12-23 17:42:58.105814,1.46
2023-12-23 17:43:58.117251,1.46
2023-12-23 17:44:58.125737,1.46
2023-12-23 17:45:58.138084,1.46
2023-12-23 17:46:58.147789,1.46
